ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
29,MISSOURI,MO,29153,Ozark,29153470200,"Census Tract 4702, Ozark County, Missouri",0.8529,0.714,0.0483,0.7313,0.7051
29,MISSOURI,MO,29179,Reynolds,29179380100,"Census Tract 3801, Reynolds County, Missouri",0.7325,0.6066,0.1563,0.8703,0.7058
29,MISSOURI,MO,29127,Marion,29127960900,"Census Tract 9609, Marion County, Missouri",0.7541,0.7169,0.299,0.6628,0.7066
29,MISSOURI,MO,29189,St. Louis,29189211402,"Census Tract 2114.02, St. Louis County, Missouri",0.4787,0.1715,0.9741,0.8883,0.7073
29,MISSOURI,MO,29019,Boone,29019001101,"Census Tract 11.01, Boone County, Missouri",0.8796,0.0101,0.9164,0.8487,0.708
29,MISSOURI,MO,29113,Lincoln,29113810100,"Census Tract 8101, Lincoln County, Missouri",0.8738,0.7529,0.1362,0.5944,0.7087
29,MISSOURI,MO,29195,Saline,29195090500,"Census Tract 905, Saline County, Missouri",0.4989,0.6376,0.7651,0.7262,0.7094
29,MISSOURI,MO,29187,St. Francois,29187951100,"Census Tract 9511, St. Francois County, Missouri",0.8291,0.8624,0.0569,0.6441,0.7102
29,MISSOURI,MO,29215,Texas,29215480200,"Census Tract 4802, Texas County, Missouri",0.8645,0.8919,0.0793,0.5339,0.7109
29,MISSOURI,MO,29161,Phelps,29161890500,"Census Tract 8905, Phelps County, Missouri",0.7578,0.7795,0.4135,0.5108,0.7116
29,MISSOURI,MO,29055,Crawford,29055450400,"Census Tract 4504, Crawford County, Missouri",0.7808,0.9063,0.0879,0.6376,0.7123
29,MISSOURI,MO,29095,Jackson,29095013203,"Census Tract 132.03, Jackson County, Missouri",0.9229,0.6599,0.4928,0.312,0.713
29,MISSOURI,MO,29189,St. Louis,29189213500,"Census Tract 2135, St. Louis County, Missouri",0.62,0.7558,0.7219,0.5159,0.7138
29,MISSOURI,MO,29095,Jackson,29095011300,"Census Tract 113, Jackson County, Missouri",0.6027,0.6945,0.2752,0.9056,0.7145
29,MISSOURI,MO,29023,Butler,29023950202,"Census Tract 9502.02, Butler County, Missouri",0.8457,0.8379,0.0295,0.688,0.7152
29,MISSOURI,MO,29189,St. Louis,29189210200,"Census Tract 2102, St. Louis County, Missouri",0.8536,0.7536,0.5137,0.3581,0.7159
29,MISSOURI,MO,29095,Jackson,29095014108,"Census Tract 141.08, Jackson County, Missouri",0.6842,0.6816,0.6844,0.5303,0.7167
29,MISSOURI,MO,29187,St. Francois,29187950800,"Census Tract 9508, St. Francois County, Missouri",0.4427,0.8329,0.5922,0.822,0.7174
29,MISSOURI,MO,29091,Howell,29091090300,"Census Tract 903, Howell County, Missouri",0.7231,0.8408,0.4431,0.5259,0.7181
29,MISSOURI,MO,29139,Montgomery,29139970200,"Census Tract 9702, Montgomery County, Missouri",0.659,0.8689,0.1463,0.8242,0.7188
29,MISSOURI,MO,29189,St. Louis,29189212700,"Census Tract 2127, St. Louis County, Missouri",0.8875,0.7291,0.9049,0.1182,0.7195
29,MISSOURI,MO,29019,Boone,29019001002,"Census Tract 10.02, Boone County, Missouri",0.3244,0.3847,0.7212,0.9964,0.7203
29,MISSOURI,MO,29189,St. Louis,29189220100,"Census Tract 2201, St. Louis County, Missouri",0.5364,0.768,0.6916,0.6852,0.721
29,MISSOURI,MO,29077,Greene,29077005001,"Census Tract 50.01, Greene County, Missouri",0.6554,0.7687,0.2687,0.8343,0.7217
29,MISSOURI,MO,29095,Jackson,29095006000,"Census Tract 60, Jackson County, Missouri",0.6431,0.9207,0.5447,0.4914,0.7224
29,MISSOURI,MO,29135,Moniteau,29135385400,"Census Tract 3854, Moniteau County, Missouri",0.8025,0.1117,0.4575,0.9424,0.7231
29,MISSOURI,MO,29021,Buchanan,29021000702,"Census Tract 7.02, Buchanan County, Missouri",0.6316,0.7731,0.3156,0.8163,0.7239
29,MISSOURI,MO,29075,Gentry,29075960200,"Census Tract 9602, Gentry County, Missouri",0.6092,0.7918,0.3689,0.7947,0.7246
29,MISSOURI,MO,29007,Audrain,29007950400,"Census Tract 9504, Audrain County, Missouri",0.7765,0.8329,0.1707,0.7089,0.7253
29,MISSOURI,MO,29119,McDonald,29119070200,"Census Tract 702, McDonald County, Missouri",0.7123,0.4741,0.6001,0.7356,0.726
29,MISSOURI,MO,29187,St. Francois,29187950400,"Census Tract 9504, St. Francois County, Missouri",0.7426,0.745,0.1117,0.8588,0.7267
29,MISSOURI,MO,29009,Barry,29009960402,"Census Tract 9604.02, Barry County, Missouri",0.788,0.4171,0.7738,0.4986,0.7275
29,MISSOURI,MO,29179,Reynolds,29179380200,"Census Tract 3802, Reynolds County, Missouri",0.8262,0.817,0.1045,0.7068,0.7282
29,MISSOURI,MO,29099,Jefferson,29099700700,"Census Tract 7007, Jefferson County, Missouri",0.6799,0.5857,0.1635,0.9532,0.7289
29,MISSOURI,MO,29001,Adair,29001950400,"Census Tract 9504, Adair County, Missouri",0.6561,0.6189,0.8365,0.5166,0.7296
29,MISSOURI,MO,29159,Pettis,29159480400,"Census Tract 4804, Pettis County, Missouri",0.6107,0.8559,0.4236,0.7169,0.7304
29,MISSOURI,MO,29189,St. Louis,29189214700,"Census Tract 2147, St. Louis County, Missouri",0.7823,0.245,0.9625,0.4856,0.7311
29,MISSOURI,MO,29095,Jackson,29095005300,"Census Tract 53, Jackson County, Missouri",0.7981,0.1463,0.487,0.92,0.7318
29,MISSOURI,MO,29217,Vernon,29217950100,"Census Tract 9501, Vernon County, Missouri",0.7714,0.6412,0.4942,0.6138,0.7325
29,MISSOURI,MO,29121,Macon,29121960100,"Census Tract 9601, Macon County, Missouri",0.5955,0.8509,0.4186,0.7622,0.7332
29,MISSOURI,MO,29099,Jefferson,29099700208,"Census Tract 7002.08, Jefferson County, Missouri",0.4823,0.879,0.1664,0.9712,0.734
29,MISSOURI,MO,29225,Webster,29225470402,"Census Tract 4704.02, Webster County, Missouri",0.7167,0.2673,0.518,0.9193,0.7347
